City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Tura,IN,2020-03-30 21:58:18,25.52,90.22,67.05,25,0,3.09
220,Casambalangan,PH,2020-03-30 21:59:23,18.38,122.13,79.14,79,8,5.1
221,Sena Madureira,BR,2020-03-30 21:59:23,-9.07,-68.66,79.57,87,89,1.66
222,Gandajika,CD,2020-03-30 21:59:23,-6.75,23.95,67.46,78,84,3.98
223,Winburg,ZA,2020-03-30 21:59:24,-28.52,27.01,65.32,33,100,3.6
224,Plettenberg Bay,ZA,2020-03-30 21:59:24,-34.05,23.37,62.06,74,0,1.54
225,Sinnamary,GF,2020-03-30 21:54:54,5.38,-52.95,80.01,82,98,13.62
226,Fairbanks,US,2020-03-30 21:55:31,64.84,-147.72,21.99,34,20,10.29
227,Bulaevo,KZ,2020-03-30 21:59:25,54.91,70.44,26.6,94,38,8.9
228,Cody,US,2020-03-30 21:55:11,44.53,-109.06,59.0,24,20,10.29
229,Frontera,MX,2020-03-30 21:59:26,26.93,-101.45,82.0,32,100,4.0
230,Uricani,RO,2020-03-30 21:59:26,45.34,23.15,35.76,66,80,3.0
231,General Roca,AR,2020-03-30 21:59:27,-39.03,-67.58,73.4,38,64,3.36
232,Bambanglipuro,ID,2020-03-30 21:59:27,-7.95,110.28,78.26,83,81,2.66
233,Yima,CN,2020-03-30 21:59:27,34.74,111.88,46.81,55,100,0.43
234,Edson,CA,2020-03-30 21:59:28,53.58,-116.44,14.0,72,90,12.75
235,Yumen,CN,2020-03-30 21:59:28,40.28,97.2,35.15,36,61,14.23
236,Tateyama,JP,2020-03-30 21:59:28,34.98,139.87,50.0,76,75,9.17
237,Iqaluit,CA,2020-03-30 21:59:29,63.75,-68.51,5.0,65,20,17.22
238,Shanghai,CN,2020-03-30 21:57:28,31.22,121.46,57.0,87,75,6.71
239,Port-Gentil,GA,2020-03-30 21:59:29,-0.72,8.78,82.76,81,59,3.74
240,Suda,RU,2020-03-30 21:59:29,59.15,37.56,26.67,82,100,8.99
241,Arco,IT,2020-03-30 21:59:30,45.92,10.89,44.6,93,100,12.75
242,Amethi,IN,2020-03-30 21:59:30,26.15,81.82,72.79,28,0,6.6
243,Welwyn Garden City,GB,2020-03-30 21:59:30,51.8,-0.21,44.01,93,75,10.29
244,Oranjestad,AW,2020-03-30 21:59:31,12.52,-70.03,84.2,66,40,21.92
245,Jiexiu,CN,2020-03-30 21:59:31,37.02,111.91,51.42,33,100,5.37
246,Namatanai,PG,2020-03-30 21:59:31,-3.67,152.43,82.31,74,91,4.72
247,Mackay,AU,2020-03-30 21:59:13,-21.15,149.2,73.4,94,75,5.82
248,Yarada,IN,2020-03-30 21:59:32,17.65,83.27,81.7,72,0,8.43
249,Jumla,NP,2020-03-30 21:59:32,29.27,82.18,44.17,21,5,4.23
250,Quepos,CR,2020-03-30 21:59:33,9.42,-84.17,82.4,54,20,16.11
251,Ambilobe,MG,2020-03-30 21:59:33,-13.2,49.05,76.62,89,49,0.94
252,Hailar,CN,2020-03-30 21:59:34,49.2,119.7,20.26,82,0,6.82
253,Hohhot,CN,2020-03-30 21:59:34,40.81,111.65,32.0,40,10,2.24
254,Sioux Lookout,CA,2020-03-30 21:58:42,50.1,-91.92,50.0,26,90,3.36
255,Husavik,IS,2020-03-30 21:59:35,66.04,-17.34,42.8,70,90,54.13
256,Prieska,ZA,2020-03-30 21:59:35,-29.66,22.75,71.65,45,100,14.2
257,Jiblah,YE,2020-03-30 21:59:35,13.92,44.15,65.61,46,6,1.01
258,Pinsk,BY,2020-03-30 21:59:36,52.12,26.1,29.01,84,79,7.23
259,Cockburn Town,TC,2020-03-30 21:55:04,21.46,-71.14,76.59,77,0,15.03
260,Teseney,ER,2020-03-30 21:59:36,15.11,36.66,73.15,30,0,8.32
261,Nyimba,ZM,2020-03-30 21:59:37,-14.56,30.81,69.1,63,74,4.85
262,Flinders,AU,2020-03-30 21:59:37,-34.58,150.86,69.01,100,40,6.93
263,Turukhansk,RU,2020-03-30 21:59:37,65.82,87.98,8.38,95,98,4.03
264,Chokurdakh,RU,2020-03-30 21:59:38,70.63,147.92,-3.95,91,99,11.65
265,Pevek,RU,2020-03-30 21:59:38,69.7,170.31,11.03,92,87,18.43
266,Sandwick,GB,2020-03-30 21:59:39,60.0,-1.25,44.6,75,75,11.41
267,Paamiut,GL,2020-03-30 21:56:02,61.99,-49.67,24.42,95,34,11.79
268,Ban Nahin,LA,2020-03-30 21:59:39,18.24,104.21,78.17,54,0,2.55
269,Miraflores,MX,2020-03-30 21:59:39,19.22,-98.81,91.4,13,5,6.93
270,Palmer,US,2020-03-30 21:59:40,42.16,-72.33,46.4,86,90,4.7
271,Providencia,MX,2020-03-30 21:59:40,28.72,-111.58,86.0,9,75,3.36
272,Crystal Beach,CA,2020-03-30 21:59:40,42.87,-79.06,46.4,87,90,12.75
273,Nyrob,RU,2020-03-30 21:59:41,60.73,56.72,24.53,96,100,6.33
274,Souillac,MU,2020-03-30 21:59:41,-20.52,57.52,80.6,94,40,6.93
275,Norman Wells,CA,2020-03-30 21:59:20,65.28,-126.83,1.4,45,5,11.41
276,Namibe,AO,2020-03-30 21:59:42,-15.2,12.15,72.07,76,86,4.5
277,Goderich,CA,2020-03-30 21:59:42,43.75,-81.72,39.99,87,100,14.63
278,Fonte Boa,BR,2020-03-30 21:59:43,-2.5,-66.27,73.63,94,100,3.96
279,Belyy Yar,RU,2020-03-30 21:59:08,53.6,91.39,28.4,54,18,4.47
280,Te Anau,NZ,2020-03-30 21:59:43,-45.42,167.72,52.81,65,4,0.78
281,Rebrikha,RU,2020-03-30 21:59:43,53.07,82.34,23.76,96,44,5.32
282,Novomyrhorod,UA,2020-03-30 21:59:44,48.78,31.64,39.4,69,57,12.77
283,Urusha,RU,2020-03-30 21:59:44,54.05,122.9,11.08,88,4,3.36
284,Aleksandrovsk-Sakhalinskiy,RU,2020-03-30 21:59:44,50.9,142.16,32.18,92,85,20.62
285,Saint-Pierre,RE,2020-03-30 21:59:45,-21.34,55.48,78.8,94,48,9.17
286,Garliava,LT,2020-03-30 21:59:45,54.82,23.87,30.2,68,94,1.12
287,Warrnambool,AU,2020-03-30 21:59:45,-38.38,142.48,52.0,95,9,10.36
288,Alice Springs,AU,2020-03-30 21:59:46,-23.7,133.88,69.8,49,10,1.12
289,Zheleznodorozhnyy,RU,2020-03-30 21:59:46,55.75,38.0,28.4,92,75,13.42
290,Wentzville,US,2020-03-30 21:59:46,38.81,-90.85,66.99,36,1,6.93
291,Hurghada,EG,2020-03-30 21:59:47,27.26,33.81,73.09,39,21,6.15
292,San Vicente,AR,2020-03-30 21:59:47,-26.62,-54.13,77.43,62,20,1.52
293,Tual,ID,2020-03-30 21:59:48,-5.67,132.75,84.0,72,87,6.26
294,Raga,SS,2020-03-30 21:59:48,8.46,25.68,75.15,20,0,0.87
295,Andenes,NO,2020-03-30 21:59:49,69.31,16.12,30.2,80,100,35.57
296,Yei,SS,2020-03-30 21:59:49,4.09,30.68,73.85,55,72,3.71
297,Oranjemund,NA,2020-03-30 21:59:49,-28.55,16.43,59.58,91,6,5.46
298,Lagoa,PT,2020-03-30 21:59:50,39.05,-27.98,58.73,78,19,28.54
299,Meadow Lake,US,2020-03-30 21:59:50,34.8,-106.54,64.0,13,1,18.34
300,Kulhudhuffushi,MV,2020-03-30 21:55:47,6.62,73.07,83.57,65,10,2.62
301,Kampot,KH,2020-03-30 21:59:51,10.62,104.18,77.0,88,90,2.24
302,Regeneracao,BR,2020-03-30 21:59:51,-6.24,-42.69,79.12,84,99,4.0
303,Norwich,GB,2020-03-30 21:59:51,52.63,1.3,43.0,70,43,12.75
304,Newburgh,US,2020-03-30 21:59:52,41.5,-74.01,51.01,87,90,6.93
